category,Earnings Yield
Wed Feb 15 1871,0.0889
Wed Mar 15 1871,0.0868
Sat Apr 15 1871,0.0844
Mon May 15 1871,0.0823
Thu Jun 15 1871,0.083
Sat Jul 15 1871,0.0846
Tue Aug 15 1871,0.0835
Fri Sep 15 1871,0.0826
Sun Oct 15 1871,0.0871
Wed Nov 15 1871,0.0862
Fri Dec 15 1871,0.0844
Mon Jan 15 1872,0.0828
Thu Feb 15 1872,0.083
Fri Mar 15 1872,0.0809
Mon Apr 15 1872,0.0792
Wed May 15 1872,0.0796
Sat Jun 15 1872,0.0809
Mon Jul 15 1872,0.0819
Thu Aug 15 1872,0.0833
Sun Sep 15 1872,0.0854
Tue Oct 15 1872,0.0855
Fri Nov 15 1872,0.0864
Sun Dec 15 1872,0.0848
Wed Jan 15 1873,0.0846
Sat Feb 15 1873,0.0845
Sat Mar 15 1873,0.0856
Tue Apr 15 1873,0.0873
Thu May 15 1873,0.0876
Sun Jun 15 1873,0.0894
Tue Jul 15 1873,0.09
Fri Aug 15 1873,0.0905
Mon Sep 15 1873,0.0986
Wed Oct 15 1873,0.1086
Sat Nov 15 1873,0.1132
Mon Dec 15 1873,0.1041
Thu Jan 15 1874,0.0987
Sun Feb 15 1874,0.0958
Sun Mar 15 1874,0.0973
Wed Apr 15 1874,0.1
Fri May 15 1874,0.1027
Mon Jun 15 1874,0.1031
Wed Jul 15 1874,0.1031
Sat Aug 15 1874,0.1029
Tue Sep 15 1874,0.1013
Thu Oct 15 1874,0.1015
Sun Nov 15 1874,0.1007
Tue Dec 15 1874,0.1013
Fri Jan 15 1875,0.0995
Mon Feb 15 1875,0.0979
Mon Mar 15 1875,0.0948
Thu Apr 15 1875,0.0918
Sat May 15 1875,0.0936
Tue Jun 15 1875,0.0936
Thu Jul 15 1875,0.0915
Sun Aug 15 1875,0.0892
Wed Sep 15 1875,0.0881
Fri Oct 15 1875,0.0876
Mon Nov 15 1875,0.0843
Wed Dec 15 1875,0.0824
Sat Jan 15 1876,0.0792
Tue Feb 15 1876,0.0767
Wed Mar 15 1876,0.0754
Sat Apr 15 1876,0.0768
Mon May 15 1876,0.0782
Thu Jun 15 1876,0.0771
Sat Jul 15 1876,0.0764
Tue Aug 15 1876,0.078
Fri Sep 15 1876,0.0813
Sun Oct 15 1876,0.0799
Wed Nov 15 1876,0.0796
Fri Dec 15 1876,0.0782
Mon Jan 15 1877,0.0794
Thu Feb 15 1877,0.0848
Thu Mar 15 1877,0.0899
Sun Apr 15 1877,0.0975
Tue May 15 1877,0.0981
Fri Jun 15 1877,0.1062
Sun Jul 15 1877,0.1024
Wed Aug 15 1877,0.0962
Sat Sep 15 1877,0.091
Mon Oct 15 1877,0.0896
Thu Nov 15 1877,0.0915
Sat Dec 15 1877,0.0923
Tue Jan 15 1878,0.0926
Fri Feb 15 1878,0.0949
Fri Mar 15 1878,0.0934
Mon Apr 15 1878,0.0911
Wed May 15 1878,0.0911
Sat Jun 15 1878,0.0894
Mon Jul 15 1878,0.0879
Thu Aug 15 1878,0.0889
Sun Sep 15 1878,0.0874
Tue Oct 15 1878,0.0886
Fri Nov 15 1878,0.0891
Sun Dec 15 1878,0.0899
Wed Jan 15 1879,0.0882
Sat Feb 15 1879,0.0867
Sat Mar 15 1879,0.0897
Tue Apr 15 1879,0.0884
Thu May 15 1879,0.0861
Sun Jun 15 1879,0.0871
Tue Jul 15 1879,0.0868
Fri Aug 15 1879,0.0876
Mon Sep 15 1879,0.0859
Wed Oct 15 1879,0.0787
Sat Nov 15 1879,0.0759
Mon Dec 15 1879,0.0772
Thu Jan 15 1880,0.0762
Sun Feb 15 1880,0.0766
Mon Mar 15 1880,0.0769
Thu Apr 15 1880,0.0804
Sat May 15 1880,0.0893
Tue Jun 15 1880,0.0908
Thu Jul 15 1880,0.0887
